User Name,Drivers Id,Date,Policy Number,Location,Issue,Fraud,,,,,,,
John,5878523,6/3/18,5883796,les Escaldes,Cars Accident,1,,,,,,,
William,5881716,6/16/18,5872624,Andorra la Vella,Bike & Car Accident,0,,,,,,,
James,5882968,6/22/18,5874020,Umm al Qaywayn,Bike Accident,0,,,,,,,
Charles,5883367,6/25/18,5885940,Ras al-Khaimah,Cars Accident,0,,,,,,,
George,5883093,6/23/18,5884767,Khawr Fakk_n,Bike & Car Accident,0,,,,,,,
Frank,5868542,4/23/18,5883574,Dubai,Bike Accident,0,,,,,,,
Joseph,5872336,5/8/18,5871028,Dibba Al-Fujairah,Bike Accident,0,,,,,,,
Thomas,5873278,5/11/18,5878524,Dibba Al-Hisn,Bike & Car Accident,0,,,,,,,
Henry,5874011,5/15/18,5885078,Sharjah,Bike & Car Accident,0,,,,,,,
Robert,5870210,4/30/18,5866791,Ar Ruways,Cars Accident,0,,,,,,,
Edward,5878523,7/3/18,5883796,Al Fujayrah,Cars Accident,1,,,,,,,
Harry,5870876,5/2/18,5882172,Al Ain,Cars Accident,1,,,,,,,
Walter,5883311,6/25/18,5862171,Ajman,Bike Accident,0,,,,,,,
Arthur,5883212,6/24/18,5874271,Adh Dhayd,Bike Accident,0,,,,,,,
Fred,5889688,7/24/18,5871885,Abu Dhabi,Cars Accident,0,,,,,,,
Albert,5887640,7/16/18,5885768,Zaranj,Cars Accident,0,,,,,,,
Samuel,5853400,2/21/18,5871688,Taloqan,Bike & Car Accident,0,,,,,,,
David,5880097,6/8/18,5865030,Sh_n_an_,Bike & Car Accident,0,,,,,,,
Louis,5880488,6/11/18,5882140,Shibirgh_n,Cars Accident,0,,,,,,,
Joe,5883524,6/26/18,5878779,Shahrak,Bike & Car Accident,0,,,,,,,
Charlie,5870641,5/1/18,5889487,Sar-e Pul,Bike Accident,0,,,,,,,
Clarence,5870876,6/7/18,5882172,Sang-e Ch_rak,Cars Accident,1,,,,,,,
